Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
BiSbSe2.76Cl0.24,500,87.3,-192,0.49,0.328390530612245,Expt,10.1039/d0ra04065g
AgBi0.9Sb0.1Se2,526,79.43,-211.11,0.491302199281208,0.379,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag8SiSe6,423,425.71,-104.64,0.492,0.400760194322107,Expt,https://doi.org/10.1021/acsami.0c15877
PbTe0.15Ag2Te0.85,600,178,-191.2,0.493,0.791954278296146,Expt,10.1039/c1jm13888j
AgBi0.9Sb0.1Se2,326,149.62,-127.78,0.496201395492715,0.1605,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
AgBiSe2.0,612,45.36,-263,0.5,0.384030714816,Expt,10.1039/c7dt04821a
BiSbSe0.96Br0.043,700,132.98,-213,0.5,0.8446437468,Expt,10.1002/adfm.201806558
BiSbSe0.94Br0.063,700,162.77,-203,0.5,0.9390624502,Expt,10.1002/adfm.201806558
BiSbSe0.92Br0.083,700,179.25,-193,0.5,0.94,Expt,10.1002/adfm.201806558
PbTe0.05Ag2Te0.95,450,502.13,-117.3,0.502,0.619328392323705,Expt,10.1039/c1jm13888j
Rb2Bi8Se13,330,15.91,-268,0.5096,0.0739987337519623,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
BiSbSe0.94Br0.063,600,175,-186,0.51,0.712270588235294,Expt,10.1002/adfm.201806558
BiSbSe0.92Br0.083,600,190,-181,0.51,0.732304705882353,Expt,10.1002/adfm.201806558
Ag8SiSe6,298,395.26,-166.21,0.5121,0.63541674212331,Expt,https://doi.org/10.1021/acsami.0c15877
Ce0.2Bi1.8Te3,398,779,-146.5,0.514,1.293,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
PbTe0.1Ag2Te0.9,600,196.7,-181.55,0.5147,0.755777482620944,Expt,10.1039/c1jm13888j
BiSbSe2.82Cl0.18,600,98.34,-212,0.52,0.509976110769231,Expt,10.1039/d0ra04065g
BiSbSe2.88Cl0.12,400,67.4,-195,0.52,0.197145,Expt,10.1039/d0ra04065g
Ag8SiSe6,473,532.37,-103.9,0.52,0.522760141011942,Expt,https://doi.org/10.1021/acsami.0c15877
K0.995Ba0.005GaSb4,649,64.9,-303.74,0.520272548334551,0.7469,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Rb2Bi8Se12.961,625,64.39,-242.8,0.5208,0.455538231758833,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.9909Cl0.0091,625,64.71,-200.75,0.5208,0.312961957490279,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
PbTe0.15Ag2Te0.85,550,243,-174.7,0.5233,0.772,Expt,10.1039/c1jm13888j
Rb2Bi8Se12.9935Cl0.0065,428,60.29,-237.48,0.5289,0.2751500311839,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
BiSbSe0.98Br0.023,700,137.76,-208,0.53,0.787176235471698,Expt,10.1002/adfm.201806558
BiSbSe0.96Br0.043,600,146.3,-192,0.53,0.63,Expt,10.1002/adfm.201806558
BiSbSe0.94Br0.063,500,193.62,-169,0.53,0.521696303773585,Expt,10.1002/adfm.201806558
BiSbSe0.92Br0.083,500,208.5,-163,0.53,0.522607216981132,Expt,10.1002/adfm.201806558
PbTe0.1Ag2Te0.9,450,420.89,-120.3,0.53,0.517173789065094,Expt,10.1039/c1jm13888j
CsNd2Ag3Te5,298,0.8382,-32.57,0.5303,0.0000499663712652536,Expt,https://doi.org/10.1021/ic5007132
Rb2Bi8Se12.9935,526,40.15,-291,0.532,0.336159693778195,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
PbTe0.1Ag2Te0.9,550,271.5,-159.4,0.532,0.713177322744361,Expt,10.1039/c1jm13888j
Rb2Bi8Se12.9935,625,50,-273,0.534,0.436148174157303,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.961,526,60.6,-241,0.535,0.346049854878505,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.9909Cl0.0091,526,61.76,-201.26,0.537,0.245038137324502,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ce0.2Bi1.8Te3,423,722.57,-150.18,0.5386,1.27990620532981,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Rb2Bi8Se12.9805,625,32.9,-275,0.54,0.287970196759259,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
BiSbSe2.76Cl0.24,400,110.5,-159,0.54,0.206929666666667,Expt,10.1039/d0ra04065g
In4Pb0.01Sn0.03Se2.9Cl0.06,673,104,-261.4,0.542,0.894,Expt,10.1039/c4dt03432e
PbTe0.15Ag2Te0.85,500,307,-160.5,0.543,0.726,Expt,10.1039/c1jm13888j
Ag8SiSe6,423,569.23,-97.93,0.5433,0.425030359017895,Expt,https://doi.org/10.1021/acsami.0c15877
Rb2Bi8Se12.9805,526,35.98,-292.4,0.55,0.294197481259054,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
BiSbSe2.82Cl0.18,500,117.7,-182,0.55,0.3544268,Expt,10.1039/d0ra04065g
BiSbSe0.96Br0.043,500,164.36,-169,0.55,0.426753269090909,Expt,10.1002/adfm.201806558
In4Pb0.01Sn0.03Se2.9Cl0.04,673,137.62,-261.5,0.554,1.14322112091787,Expt,10.1039/c4dt03432e
Ag8SiSe6,298,423.9,-162.46,0.554,0.601814730553343,Expt,https://doi.org/10.1021/acsami.0c15877
PbTe0.15Ag2Te0.85,450,372.3,-140.6,0.555,0.6019,Expt,10.1039/c1jm13888j
K0.995Ba0.005GaSb4,602,70.53,-292.86,0.555653345874113,0.65537,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
